Index,True Label,Mean Estimate,Mode Estimate,Standard Deviation,HPDI Lower,HPDI Upper
2665,"0.0,0.0,0.0,0.0,0.23365000000000002,0.0,0.0","0.0,0.0,0.07919439561853359,0.11235586921315494,0.3743625865772807,0.09466867424220622,0.0656849425295641","0.0,0.0,0.0,0.0,0.3734086077072022,0.0,0.0","0.019857968692888542,0.036227178199359715,0.05103813457620607,0.07539545323599749,0.05054085146938968,0.058350329908348736,0.04489299046232905","5.37495684300976e-05,4.846869868513099e-05,0.005531485864648712,6.365301296068254e-05,0.2711180449929693,0.0006799336900059742,0.003630617067856724","0.06632230651412536,0.10980816011089775,0.1799157772867755,0.24222893105641446,0.46857373696573934,0.20527623670070902,0.15821683020272445"
1668,"0.0,0.0,0.0,0.0,0.0,0.08817999999999998,0.0","0.0,0.0,0.08542723106264206,0.3113910261680345,0.17042392425335712,0.3182324218977733,0.0","0.0,0.0,0.0,0.3513992264042113,0.0,0.3490129574346896,0.0","0.015743042728583873,0.024087386645183725,0.060068650960742646,0.09444290084554692,0.13439694359101476,0.10674905571754356,0.029435074606757292","0.001033587057356821,0.0001466882638663162,0.0001626756351050854,0.08825902328017896,0.007793161040484489,0.08618968742872801,0.0001927966747293966","0.0491440642085797,0.08456834698113824,0.2069262851294581,0.47040704256363713,0.4808147943549457,0.46387097691675583,0.10250970594936748"
767,"0.0,0.47922,0.0,0.0,0.0,0.0,0.0","0.0,0.38547664388444003,0.14448293892608272,0.0,0.16218999016641425,0.0,0.0","0.0,0.4724837499442929,0.0,0.0,0.1265675933794347,0.0,0.0","0.023492479089135397,0.1586468778003666,0.16238298078107088,0.01715514271281958,0.14958321689645165,0.013255042975271403,0.02443236131291095","0.001822335251386246,0.010695163440750308,5.424976782731609e-06,9.818879525162178e-06,0.01897121145771627,0.00437415453989515,2.4092069596625777e-05","0.08725711101516678,0.4888970596761097,0.5135219621677306,0.048959961929644795,0.5129473514229019,0.04924171391104057,0.05617258276802969"
3111,"0.0,0.40786,0.0,0.0,0.0,0.0,0.0","0.06115971298828747,0.3567895895254475,0.0,0.06523223115786818,0.06664531416027049,0.0,0.0","0.0,0.3705727226204859,0.0,0.0,0.0,0.0,0.0","0.03988471451422947,0.07000383112757755,0.03892088644026198,0.06573167975632399,0.08881552214530936,0.03261592324391283,0.03971005218047096","0.0012118587392141002,0.12115075936833125,0.00014926869352877646,0.0010147523972682483,1.2844212600473149e-07,0.000523611919566745,2.091509992086588e-05","0.1423799398395042,0.4194416138523804,0.12551095218274602,0.2518010088853205,0.3105306098895469,0.10974238345214735,0.12539253565699618"
246,"0.48314999999999997,0.0,0.0,0.0,0.0,0.0,0.0","0.44565943541492636,0.06984015433240963,0.0,0.0,0.0,0.0,0.0","0.4497071112568437,0.0,0.0,0.0,0.0,0.0,0.0","0.02344285754955835,0.05748667081669349,0.02607865780765883,0.021515830706534754,0.04521043597243815,0.014826126537869211,0.03774235036173645","0.4034598893882993,0.0004339658451567464,6.921973232577496e-05,0.00014041233896715005,8.171763611291559e-05,0.002130015061551063,1.4676516026731856e-05","0.48493366608491917,0.18077487556044997,0.05721753576616055,0.07113514530414236,0.11827249186109778,0.049440093420333925,0.12818266551148802"
1713,"0.18230000000000002,0.0,0.0,0.0,0.0,0.0,0.0","0.17641383460874221,0.12900606346672241,0.08777527219750225,0.09117892875980182,0.129975471972923,0.0,0.0","0.1757271510378665,0.1684098375716438,0.0,0.0,0.0,0.0,0.0","0.04910909209581709,0.0526600559629111,0.05724791362903186,0.1260690527075508,0.11918293758790117,0.028853897191808968,0.024476055520794997","0.11259540446214657,0.02295642733471157,0.0005036290398362746,0.0021726333460081533,0.00875392040966165,1.73381887124358e-05,1.7829420864694683e-06","0.3184655657801015,0.20292455921793415,0.1968748977111424,0.4623284212767357,0.4264435289498066,0.09519007858368442,0.08280488719056993"
455,"0.0,0.54432,0.0,0.0,0.0,0.0,0.0","0.0,0.5352747947991088,0.08680196749935198,0.08018553674247757,0.10081647289281964,0.0,0.0","0.0,0.5489452935538891,0.053681393685896105,0.0,0.0,0.0,0.0","0.02184166810223367,0.012859329954592744,0.05888772944707081,0.06665654643919362,0.07797750976417551,0.031907433039766946,0.029477058962644936","7.546615886175415e-05,0.5095219699189152,0.00056083662616424,0.0006509715750751987,0.0006605986821000753,0.00028227304313278937,0.0002607876683318479","0.07137980258895192,0.5499969617011737,0.19911338069332066,0.21390655527358587,0.25152036976966624,0.10790834724250262,0.09246839627245276"
649,"0.0,0.0,0.0,0.0,0.0,0.05864999999999998,0.0","0.0,0.0,0.06323517929842168,0.20335362875924182,0.11464298158922114,0.23529059044738115,0.08030033866109161","0.0,0.0,0.0,0.0,0.0,0.11059413677061242,0.0","0.01473449906438232,0.022933379032018586,0.05192666756796563,0.12354579963006221,0.12044299102455204,0.14510661171626657,0.10722755502543886","0.0034143561555992465,0.006717912676696929,0.0012754132424823794,0.025489389187701147,0.000501875679972983,0.027661771531728448,0.00015543494413857272","0.04996842622157211,0.08802422127235976,0.17520453533766192,0.4028063262537549,0.4943556200307812,0.44919234478055065,0.42558405770918944"
1902,"0.0,0.24502000000000002,0.0,0.0,0.0,0.0,0.0","0.056237609708819546,0.22259474895986686,0.09352656564805725,0.0,0.07997833577618112,0.0,0.0","0.0,0.22332023859386976,0.0,0.0,0.05025506939003391,0.0,0.0","0.030919626004565846,0.024668863083778095,0.06820666780535933,0.02617181467939545,0.04733761781198183,0.0242462283388205,0.016374005540506522","0.00010271812273850221,0.17088050090463813,0.001397025584193823,0.00496571030760738,0.004516755439513198,0.0006499093703020918,0.00030259743533093785","0.10192779919307324,0.26793049003298286,0.21912860316946972,0.09911264852685686,0.169024262314878,0.09015571680431507,0.04781061738980527"
2336,"0.0,0.0,0.0,0.0,0.0,0.0,0.28986","0.07680550258757934,0.14346527657091104,0.14120137215764283,0.10434049873720928,0.0,0.07858858067584029,0.27234416302976394","0.0,0.0,0.0,0.0,0.0,0.0,0.23095722562493365","0.07147091833799395,0.09719105967094475,0.15436185019113208,0.09680576847194891,0.04512042007539047,0.06935852957605108,0.11463443633299417","2.8229716609346702e-05,0.001247541493954734,0.0020196673269804472,0.0011076571107245074,0.00018568737320459513,0.002441667157035382,0.09146879081863994","0.23407637777376517,0.29396975808093695,0.512955091655047,0.31659554317911387,0.14112627455253876,0.22734507049960878,0.5013722404877734"
155,"0.0,0.0,0.0,0.0,0.0,0.3772,0.0","0.0,0.0,0.0,0.09954920627205004,0.21922872325867737,0.10071119639932409,0.188759160336374","0.0,0.0,0.0,0.0,0.24353528021061716,0.05771374656345292,0.0","0.014816078602505691,0.030561565877916922,0.033871673299763365,0.06731698117028462,0.08781289259707273,0.05854355572291198,0.17304944620345106","0.0016935022728477836,0.000376974846494839,0.0003387882665962926,8.504767303672894e-07,0.01951904845559336,0.0011003417796400631,6.952107628090934e-05","0.04927794445408947,0.08991078145551257,0.11561363123311097,0.229620873948039,0.3417429842357778,0.19445928986347952,0.4828688575279245"
732,"0.0,0.0,0.17709999999999998,0.0,0.0,0.0,0.0","0.0,0.09603439385374189,0.06935101625594924,0.21956584805847182,0.16004061886638213,0.0,0.0","0.0,0.10829153700441047,0.0,0.23825922729563975,0.21071733872776655,0.0,0.0","0.0230658346002531,0.03957831346318536,0.05014552938896922,0.0607192335928034,0.08192736673178226,0.033519857524952845,0.014971915431768037","0.00563323310252129,0.020585620430581358,0.00047597556111146394,0.10177865993290794,0.0009447591417205537,0.0009599535114186747,0.00039304753556604463","0.08740930885685165,0.17071865581627862,0.16197106311031284,0.3233335869150493,0.2700296911240305,0.11286226498560169,0.05138995107674187"
3204,"0.0,0.0,0.0,0.0,0.0,0.0,0.34735000000000005","0.11526616262428674,0.1447014184965137,0.09528190248964591,0.1784034663397625,0.0,0.05652043894164483,0.2618029845121728","0.0,0.0,0.0,0.0,0.0,0.0,0.13010274780349057","0.13929267400083234,0.08455187161382004,0.09052409311077894,0.16460631343813847,0.03889844457538506,0.05142078885655247,0.15411030014514565","0.00018389288045209427,0.006942471656764594,0.0017760472532754158,0.004407132464027243,2.4255120827424316e-05,0.00030086107006402227,0.03226126406415501","0.45507522905566783,0.30110712861481037,0.30957835408559975,0.518842447986797,0.11716562863841806,0.18801807368901796,0.5498727943735556"
241,"0.36978999999999995,0.0,0.0,0.0,0.0,0.0,0.0","0.3295355875722557,0.06594266870921615,0.05160098484255306,0.057777366231782375,0.06223749323743913,0.0,0.0724921272642891","0.35137670539754806,0.0,0.0,0.0,0.0,0.0,0.0","0.04622013999680676,0.10322110074380277,0.06480421195508464,0.054689337346705336,0.06269468745902544,0.030558976130224437,0.06266548265467738","0.2372530830911389,2.218846560468633e-06,0.000554254850701314,0.000978346684104589,0.0004380020909632416,0.0005616837526560737,0.0012798674490211545","0.39966083220439713,0.38932949480576173,0.239988898039306,0.18309459202955017,0.1863163982334184,0.11198648888449649,0.22256422985012575"
842,"0.0,0.0,0.22987999999999997,0.0,0.0,0.0,0.0","0.0,0.10679487552766673,0.0936297408116432,0.1670732350804556,0.0,0.0,0.0","0.0,0.10287885782058617,0.0,0.20585534159265217,0.0,0.0,0.0","0.02127910213072818,0.03268746473919518,0.06974745820739556,0.05820322990142872,0.0508609483288571,0.03787834277978695,0.019138264240359526","0.008037478615940296,0.04583593243924767,7.979859577790009e-10,0.030061830624227407,2.637039997516787e-10,0.0014083937764617423,0.0021760479746041205","0.08744877081854002,0.16818650539247076,0.20563290536776246,0.23528868474484083,0.15468114274356065,0.12887642071098976,0.0727927736571961"
