Index,True Label,Mean Estimate,Mode Estimate,Standard Deviation,HPDI Lower,HPDI Upper
2516,"0.0,0.0,0.0,0.0,0.0,0.52582,0.0","0.0,0.0,0.06078264366495495,0.06802523524404944,0.16183957722013673,0.48980640576694395,0.09016647814879304","0.0,0.0,0.0,0.0,0.17092835022015146,0.5099714923868675,0.0","0.029144690687188248,0.02904720138419205,0.04909241301409843,0.05687714518973116,0.0933933984536531,0.03786553351758705,0.06646388838109123","5.065814093052331e-05,0.00023477452252364313,0.0002585305245154453,0.00011962193320057905,0.0023592270968334048,0.4173796912616798,0.001095418841677749","0.09780400654061067,0.09743547110204848,0.1617520234194833,0.18396581678245305,0.3246920603912592,0.5492115969550792,0.21635712034504068"
2235,"0.0,0.0,0.0,0.0,0.0,0.15905999999999998,0.0","0.0,0.0,0.11661328699043336,0.3418724478693836,0.09388627433966196,0.38655103578305533,0.0","0.0,0.0,0.13811732754099149,0.3449083380166411,0.05698920639386055,0.38524931891187575,0.0","0.014161322956437001,0.014374424982212086,0.03450983817537199,0.029555212854310974,0.03978953580241329,0.033055780030123084,0.016530188170396764","0.0030020440885512867,1.530175980512695e-05,0.050289092136399906,0.28111337048023427,0.015426951848896338,0.32774100238578563,7.860957623266233e-05","0.049865292825067624,0.04743107991532707,0.1785440640006305,0.3951673048186362,0.16662891168404748,0.45778338787697204,0.04983006680106019"
719,"0.51386,0.0,0.0,0.0,0.0,0.0,0.0","0.4617990887799565,0.09831907691800176,0.0,0.0,0.08481512606638654,0.0,0.0","0.465375548388137,0.0,0.0,0.0,0.0,0.0,0.0","0.02634468858007269,0.06913466820588156,0.028562117496604776,0.03530259703708033,0.06641878979683456,0.017486677127824812,0.04389560482892818","0.40774911074487147,0.0005787950657153085,0.0003258720081455979,9.551396760157707e-05,0.00034694113294633555,8.126954621682131e-05,1.8192453713660366e-05","0.5103749847303105,0.23527914402142563,0.09642328169711449,0.1182790139107792,0.2169414548701315,0.049987843219859406,0.13566665582542048"
91,"0.0,0.43653,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.47634948630565893,0.15281720187421194,0.2020679574507741,0.0,0.07300938493923623","0.0,0.0,0.47869473322432265,0.1464045350786678,0.2073530654485825,0.0,0.0","0.016218105136078135,0.02745992901434499,0.02253165648955044,0.0462114232614425,0.05070199881952323,0.016593468908202604,0.05310553291815856","0.0006587066181294228,0.00038027691366323077,0.4256873048896178,0.06516367676703508,0.1004967120176704,0.0014750049551041102,0.0007447460501922257","0.04949959977958766,0.08754772194932946,0.5182523680614938,0.2391288743773723,0.2930803216320267,0.04998892497298971,0.17803557178058865"
555,"0.0,0.0,0.0,0.0,0.22932000000000002,0.0,0.0","0.0,0.06045876642319566,0.0701192246650231,0.07789173184700979,0.42757245938385213,0.07404135517558008,0.07064495596264096","0.0,0.0,0.0,0.0,0.41501341559663585,0.0,0.0","0.02596487511314072,0.04326031202308692,0.05192827838648577,0.05514646045602533,0.05090425308975074,0.055685774228847115,0.05143454273775093","0.00012230253233870656,5.775064418903337e-05,0.00017693361605234642,0.0026067533871518694,0.3299063480476249,0.00032558196114444737,0.0006457260040185952","0.08731046646711961,0.14299644208637116,0.17913264935442805,0.1870742639024067,0.5247384792374983,0.18161243722805942,0.16802051932584514"
1116,"0.0,0.0,0.54761,0.0,0.0,0.0,0.0","0.0,0.0,0.4618803558951831,0.10437317443965853,0.0,0.0500617939983428,0.0","0.0,0.0,0.4471124716750017,0.11653094752779247,0.0,0.0,0.0","0.02537276589547383,0.018803787415152512,0.04008116777634421,0.05061435780760701,0.026247352661640185,0.03440966524683722,0.03238747271723951","5.407768525727418e-05,1.4945366076720378e-05,0.3917100289183797,0.010640610539133443,0.0006620497089986656,0.0001891630342804282,0.0008130895137614106","0.08677237890069502,0.05931538299279775,0.5415660902368983,0.18844434991742182,0.09081640550716748,0.11334334963161508,0.10840284394595551"
941,"0.0,0.0,0.0,0.0,0.0,0.0,0.44309","0.0,0.0,0.11015900319237835,0.15995441417336195,0.0,0.11269388716327426,0.47753029060266544","0.0,0.0,0.0,0.0,0.0,0.0,0.5257897865688248","0.020771097012372005,0.03055517967710985,0.08803623896176625,0.11609125888867244,0.03727979971217423,0.06223183439179933,0.06731424609172622","4.13811506763149e-05,7.016755240059126e-05,4.8023178767197217e-05,8.279143515911117e-06,0.0002459236565670327,0.01054981776244057,0.353160685629136","0.05940317506473761,0.10256860806590971,0.28879672176344673,0.383661675659627,0.1226303998003054,0.2305761253536635,0.5499568924461133"
2859,"0.0,0.0,0.0,0.0,0.32489,0.0,0.0","0.0,0.0,0.0,0.13816723431636593,0.4217365041061115,0.11861021547746149,0.0","0.0,0.0,0.0,0.2197971716854082,0.4189496008679675,0.0,0.0","0.0148054353106205,0.020322021272273238,0.033427080428692066,0.08517098532366563,0.04498869196651289,0.07485024452428651,0.026748356290207435","0.0022733000327155818,0.0001771380936649807,5.05060940069455e-05,0.00015899068015749935,0.3388876056231602,0.0021970189735202976,0.00017339136567349206","0.04990979068636182,0.06555740510445042,0.10763812462277876,0.27712089954502594,0.5008371055270224,0.25937457251878804,0.08988043390605517"
2345,"0.49444999999999995,0.0,0.0,0.0,0.0,0.0,0.0","0.46737307536986855,0.10999410239200827,0.0,0.0,0.11212159676168246,0.0,0.0","0.4766819565490432,0.0,0.0,0.0,0.0,0.0,0.0","0.023108073229977585,0.08802041443442965,0.025956042954156777,0.018176087918118134,0.08209686893925236,0.01709247988017218,0.026746038574457644","0.42258311663662496,0.0006934913965941846,0.0002956026700740722,0.00010127680483950864,0.001080305149857966,3.443129354471226e-06,2.646016920439359e-05","0.5080939485400442,0.2953269790415518,0.07665937120995518,0.05100847156621849,0.2734481673831547,0.04925173883511642,0.08911660629198687"
247,"0.0,0.17051,0.0,0.0,0.0,0.0,0.0","0.0,0.1807432170230905,0.0,0.0,0.0,0.0,0.0","0.0,0.19150087656022113,0.0,0.0,0.0,0.0,0.0","0.02017108658090393,0.025209367680580963,0.022645378443226855,0.01965167058236978,0.03052184628615339,0.020574592872395974,0.01405950053081558","0.0004890185186295306,0.13224145285333527,6.427979019286585e-05,0.00023145311330325074,0.00020083653181690724,2.3771683495903918e-05,0.0034884211592577153","0.0709852520144613,0.2292577107777781,0.07471278063652884,0.06192507471271093,0.09794022340811846,0.06744643758810524,0.04997292881278027"
2238,"0.0,0.4668,0.0,0.0,0.0,0.0,0.0","0.0,0.4445461756290746,0.0,0.0,0.0,0.0,0.0","0.0,0.4542379901974289,0.0,0.0,0.0,0.0,0.0","0.019602973488094023,0.0159097140941745,0.03560696518625276,0.019307274078524783,0.031474207957649075,0.02017521173943567,0.02440823686902509","7.503994933717327e-05,0.4113738858267233,4.085497045778485e-06,5.8291582101866676e-05,0.00022875611657953055,0.000279795515659313,0.00011605187900154781","0.06352484753040741,0.4700095728759998,0.11830088565357869,0.06260635835263738,0.10788505066839031,0.06509184741988537,0.08031687088779597"
3002,"0.0,0.0,0.0,0.0,0.0,0.0,0.40954","0.0,0.0,0.10686984770491673,0.13702167887690667,0.05039951621427098,0.11507129247094813,0.47335367496525677","0.0,0.0,0.0,0.0,0.0,0.07769570588229331,0.5355015594559771","0.022497606118621685,0.035373098682278226,0.08504420044880992,0.1042365921838701,0.04207557002018205,0.07064203373684337,0.06229010757303831","0.000520599231180225,4.574214778557137e-05,0.00042417567126128543,0.0007410377956643499,5.3572360260364246e-05,8.530655049288294e-05,0.3584105081517076","0.07451549226747893,0.11230640980626871,0.27486906863781485,0.3390822257548856,0.1410740567845105,0.24052872428565097,0.5497140849782526"
2420,"0.0,0.0,0.0,0.0,0.0,0.0,0.27027","0.0,0.177400028652397,0.06284737992797072,0.061078766673323404,0.0,0.0,0.25497138454870416","0.0,0.23618498436587593,0.0,0.0,0.0,0.0,0.27362191681779596","0.03339949003139618,0.08536884431825476,0.05236852720005733,0.05443202804674,0.03543479550096376,0.04033963878978402,0.11386224634054767","0.0008836121864520005,0.001457046369515503,0.0012821534721465422,0.00020405822082333162,4.197290161737692e-05,0.00022622921280691463,0.07320645742694375","0.11452865164188093,0.30671859210945907,0.1671295189158036,0.16979079716103515,0.10509405165308658,0.13539619501824193,0.4794195682944795"
