Index,True Label,Mean Estimate,Mode Estimate,Standard Deviation,HPDI Lower,HPDI Upper
1006,"0.0,0.0,0.42621,0.0,0.0,0.0,0.0","0.07236773441656869,0.07285912144259475,0.3288520775169666,0.09515702248062494,0.0,0.05405728077865434,0.0","0.05105885781159278,0.05862668503489858,0.4023781648109016,0.0,0.0,0.0,0.0","0.0563435377345601,0.050239624211856036,0.13623065013655028,0.08333364016205327,0.030413902715627744,0.0433307602364417,0.03465796820803188","0.00017691496227856433,0.001800227576134889,0.0023655311909201292,0.000268533294719405,6.80376513539867e-05,3.210925130260211e-05,0.00026911349264240123","0.19298492822185395,0.17584523722306955,0.4578157915284871,0.27292901880801496,0.1020937937277566,0.1410916204413119,0.11592217695550722"
187,"0.0,0.0,0.0,0.0,0.19384,0.0,0.0","0.0,0.06596665399743601,0.057643748903144686,0.246454575702658,0.3843096710891725,0.10882446675190756,0.0","0.0,0.0,0.0,0.29431069787070163,0.4112051745883395,0.15042797757904808,0.0","0.020672356295356124,0.041817848289834696,0.046622931206528134,0.08324644227137289,0.06750345794673182,0.05864308897288016,0.025522243216162848","0.00020780786091316003,0.0020184345489839012,0.0001616632595827041,0.07554964599178216,0.24571821394203744,0.0003754001945413033,0.00013826127465514968","0.07179320182753632,0.1451623941482273,0.1510373708311595,0.39668225294255727,0.522879316409172,0.209368887022331,0.08753576907337388"
1855,"0.0,0.0,0.0,0.0,0.0,0.11062,0.0","0.0,0.0,0.10555396978456977,0.31536693759134893,0.09221970643191955,0.37588714775846216,0.0","0.0,0.0,0.08998621809280302,0.329503311398899,0.07568845976323202,0.3789171200944356,0.0","0.015384122645350051,0.0238533563560059,0.05605036896371077,0.07320406735242058,0.06110553749445227,0.07338502827136993,0.06417900745720274","0.0029583391592175132,0.0009704850758523618,0.0007601690904318134,0.1363866026260853,0.00043697379330064794,0.22417336356145426,2.5490426433874857e-05","0.049547379258729846,0.08154780924347828,0.2058548407081432,0.4400280176355008,0.20092314381481607,0.5247238141690752,0.12738845986723873"
2348,"0.0,0.0,0.0,0.0,0.0,0.13057000000000002,0.0","0.0,0.09487727379390141,0.0883515408230661,0.2782538438828786,0.09415669696796593,0.3700947190255066,0.08976144960126929","0.0,0.0,0.0,0.33201620713697777,0.0,0.3762069249478279,0.0","0.02141382378170562,0.06985670889203248,0.07056160635795426,0.10153155352762597,0.077535040459585,0.08327421345750463,0.06915654981215795","0.0005944717365455434,0.0002536300201845602,8.863138977304152e-05,0.03495576354136811,0.0010192257358897145,0.21336120186139113,0.0012084800521329755","0.07335832518980505,0.22217583835410964,0.23482928910091783,0.4324609653213505,0.25258175229560603,0.5195521430925063,0.2205126653226175"
163,"0.0,0.0,0.064,0.0,0.0,0.0,0.0","0.06213639545955404,0.20925458027846436,0.08918104768907781,0.20904713276940792,0.09376611039542354,0.1638284123611567,0.055746410905676475","0.0,0.2704225756360661,0.0,0.23229825720829772,0.0,0.16546959054266708,0.0","0.048723767460599206,0.08674287904466577,0.06980937853793077,0.11133712005519775,0.08491681479068987,0.07666564143314793,0.04823712366074303","0.0004413711989885441,0.0011799539687195116,0.0002139295446607099,0.016056875414323574,0.0006916915807596133,0.028030993643105306,0.00041170489293892494","0.15866336489684432,0.32638642266422674,0.2248610944324516,0.4032211486370741,0.26670325240186743,0.32308263025654993,0.14877610124201157"
2553,"0.0,0.0,0.0,0.0,0.0,0.0,0.22131","0.0,0.0,0.07209320263439488,0.11268876698701365,0.050137525839908284,0.12429698340551674,0.49190403782367037","0.0,0.0,0.0,0.0,0.0,0.09253807533151504,0.5458443732787711","0.01846206394833596,0.027950644291350902,0.05753448632886562,0.0951535733490972,0.04101348955366527,0.06883116056264459,0.04937518983005182","0.000120180963002986,0.0002054897148669955,4.989257107426446e-07,3.9312195218433764e-05,2.8456898687219612e-05,0.002683298294256537,0.39402234713294204","0.055447060381472436,0.09473382876287244,0.18683354020196966,0.324202649157637,0.13845763378862472,0.24162685885478608,0.5499604869014657"
1726,"0.0,0.0,0.0,0.0,0.47156,0.0,0.0","0.0,0.0,0.05341534583818348,0.0708069625122292,0.5214095556003188,0.12712307934877498,0.0","0.0,0.0,0.0,0.0,0.5449254793704733,0.0,0.0","0.028849983383248828,0.03399877724638416,0.0424287359670798,0.05650500437962392,0.024199089858176055,0.0832088627595089,0.024539444943368148","0.000174041142948187,5.571369161472963e-06,0.0001519849788101233,3.074343197342299e-05,0.4739235392218865,3.518317076439369e-05,0.00011468656218093114","0.10278414550453636,0.11266411628286929,0.13866504496184123,0.1810896144193055,0.5498016401640982,0.27763726377119946,0.08224252247811921"
2580,"0.0,0.0,0.0,0.21922999999999998,0.0,0.0,0.0","0.08212186199921426,0.14268475137916883,0.06526380762833614,0.4187702643680587,0.06875876730906239,0.14829390512702917,0.06910966913229728","0.0,0.21039400856358603,0.0,0.43808946666584514,0.0,0.12997062528632808,0.0","0.06087880195305229,0.0682653219370899,0.061370433344612146,0.06833039497996629,0.056542874695948125,0.09299155316059911,0.0644672056545786","2.4616362860585657e-05,0.01257071637296363,0.00025543755646929665,0.3002222058825803,0.0005562918593679501,0.001792173715869553,0.0003835674120295823","0.19892875470337176,0.25043963971199606,0.18981319149547912,0.5431277379338094,0.18784979399166873,0.31149413465397535,0.20606534761912434"
275,"0.0,0.0,0.0,0.0,0.0,0.0,0.09233999999999998","0.10770408969003958,0.33957918537859005,0.07586214836807277,0.08043902388659689,0.0,0.0,0.327647366077658","0.10345331042712233,0.3424677000244001,0.0,0.05050937540555618,0.0,0.0,0.33617580811641373","0.06122531789492636,0.08148540917308549,0.06716363312117478,0.06538993451259745,0.033871710049585405,0.03347598298806408,0.09889707754987762","7.314319741009099e-05,0.1824912861729665,0.00039037755422129876,8.98809418791374e-05,9.61799345555523e-06,9.767823351472148e-05,0.14584770623716914","0.21625258885845958,0.4965499507915932,0.20571426009948385,0.21365792691218846,0.1051155187419849,0.10731759323024255,0.5337728546503739"
3031,"0.0,0.0,0.1644,0.0,0.0,0.0,0.0","0.05960136289364136,0.12354841618070307,0.14068025654733557,0.19691473006493576,0.10947291102932954,0.10361642848252173,0.0","0.0,0.12367073345065462,0.11156770328771118,0.22161755595986135,0.0,0.05842041594034054,0.0","0.03993141671892495,0.05750950451427381,0.08201523388162313,0.05957681612875006,0.07267600114834538,0.06564846455573448,0.03194572180359402","0.00012941250046143453,0.008386208417366125,0.0065755301480074,0.078125642739651,0.0012030377126514568,0.0028211869326243283,1.6793504676195325e-05","0.13596247771333997,0.21647546201469253,0.2921360237246753,0.3077713633970082,0.2365010712164875,0.22658989283205402,0.10375025712457875"
2019,"0.0,0.0,0.0,0.29112000000000005,0.0,0.0,0.0","0.08480190054189495,0.09747354241708554,0.055239804950919826,0.4398211519661888,0.05165569158104606,0.07596066987265669,0.051705453896634994","0.0,0.06291217257389142,0.0,0.43767150576634783,0.0,0.0,0.0","0.0598387740662234,0.0541216736570724,0.04400879683745131,0.05379468270537979,0.04152194943152818,0.0567098937489992,0.0434947293632803","3.164358267162064e-05,0.0003351625612151586,0.0006128533559776517,0.3450912113760238,8.086316249689197e-05,5.5470551788435604e-05,0.0002618026806703878","0.1979587543996225,0.18707455321765773,0.14440975977647583,0.5362773716450954,0.1378805491590579,0.18650897322125093,0.14397120870293975"
1807,"0.0,0.0,0.0,0.2522,0.0,0.0,0.0","0.0,0.0,0.061039836620476365,0.26315766637629995,0.07941633792669574,0.0,0.0","0.0,0.0,0.07657155796151457,0.25721256666102654,0.0,0.0,0.0","0.015142597047310115,0.018492633198582555,0.0347870118180824,0.027319131680574708,0.06507213405620349,0.026654518377093397,0.016593609359331966","0.0023982462112208907,0.00048639885528359213,0.0008007666677289135,0.21437377023763646,0.00011659818808223847,0.00018353920851641318,0.000786584554138036","0.049473249567140845,0.0647328519039058,0.12025267893543659,0.3187965984449661,0.21656918936481315,0.089567956545853,0.0500042032701987"
